Country Name,Series Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Standardised Precipitation-Evapotranspiration Index,2.39,2.29,0.75,0.519382133,-0.133540925,0.413220718,0.503649514,1.073484734,-0.522340817,-1.598542471,-2.002625951,-0.58070446,0.604204841,-0.711262495,0.838649715,-0.381402237,-0.358943892,-1.388463862,1.136262964,-0.797338814,-0.636034475,0.93921289,0.243324461,-0.785160549,1.388967842,0.454644803,-1.130415585,-1.594615347,1.196677101,1.303181026,-2.57,..
Albania,Standardised Precipitation-Evapotranspiration Index,-0.55,-1.55,-1.26,-1.002028144,0.798267418,1.19625387,-1.320911806,-0.597817186,0.383261096,-2.147377878,-1.776391289,0.058111179,-0.869402946,-0.052817638,0.257714261,-0.291744197,-0.498714457,-0.78120443,1.452580406,1.589903569,-2.192845443,-0.960415479,-0.425202104,1.572763492,-0.636936408,0.043882391,-0.895545346,-1.354968068,0.462827084,-0.973186279,-0.01,..
Algeria,Standardised Precipitation-Evapotranspiration Index,0.25,0.32,-0.97,-1.032446288,-0.716782114,0.314459801,-0.49183061,-1.367160467,-0.825185201,-1.962689544,-1.959006836,-1.28221605,-0.703344443,-0.600836778,-1.348462146,-1.214962495,-1.310949562,-1.141737252,-1.384829199,-1.217076808,-1.077946177,-1.386582651,-1.276958235,-1.572830604,-1.585788975,-1.924256717,-1.84036361,-0.430590823,-1.553609893,-1.806047684,-1.8,..
Andorra,Standardised Precipitation-Evapotranspiration Index,-0.02,1.29,0.7,-1.122294299,-1.407405966,1.690521887,0.151767228,-1.322045789,0.268176153,-0.296417264,-1.367278028,0.934625429,0.07458263,0.079992316,-1.066256503,-1.879632859,-1.209357816,0.216701734,-1.716917106,-0.541301896,-0.68907731,-1.86449558,0.506873871,0.552984581,-1.686298179,-1.316078274,-1.37143829,1.243448614,-0.487672284,-0.146307231,-0.58,..
Angola,Standardised Precipitation-Evapotranspiration Index,0.41,-1.96,-0.1,-0.889119104,-1.588079019,-0.941446573,0.365182339,-0.516170127,0.246182885,0.146987863,-0.180675044,0.278171543,-0.636038348,0.165167151,-0.881888363,0.568137713,0.062355838,0.266628705,0.197316446,-0.172679819,0.21444391,0.413243028,-0.117188839,0.252616535,-0.713090934,-0.530919092,0.056441596,0.142213598,0.075897361,0.252952565,0.12,..
Antigua and Barbuda,Standardised Precipitation-Evapotranspiration Index,-0.84,1.86,-1.56,-2.00887693,-0.998801119,0.633048134,-1.046890403,1.549325306,0.005304752,-1.715737599,-0.496040577,-0.365552847,0.157881728,2.066135478,1.903611697,1.756333293,-0.713310742,2.302340928,-1.922755819,1.082806475,0.367871765,-1.247924269,-0.928393432,-0.276306247,-3.105770947,-0.4249367,0.237966291,-0.994498138,-1.204574516,-1.413599393,-2.05,..
Argentina,Standardised Precipitation-Evapotranspiration Index,1.29,1.95,0.52,0.188547633,-1.038655628,0.444786146,1.160539316,0.911265617,0.753397729,1.860314378,1.710708503,2.069888018,-0.176959068,-0.318997247,-0.118201542,-0.406069405,0.159540425,-1.363335552,-1.205693209,-0.818433376,-0.83547325,-0.072165005,-1.503611472,1.309494781,1.017107544,0.898745736,0.355145833,-0.147019833,-0.016506338,-1.808441905,-1.27,..
Armenia,Standardised Precipitation-Evapotranspiration Index,-0.13,0.93,0.14,0.519769111,-0.739507042,-0.82021099,-0.044606926,-1.230011086,-1.074213493,-1.962282483,-1.14365616,1.330804969,1.522175132,0.49433285,0.959131175,-0.031812322,1.770543738,-0.746533621,1.599421271,0.980840658,1.298116397,-0.704408579,-0.344649427,-0.950039623,0.125101598,0.972009521,-1.574780694,-0.386154072,-1.833993258,-0.507514191,-1.52,..
Australia,Standardised Precipitation-Evapotranspiration Index,-0.05,0.71,0.81,-1.667958447,1.112521103,0.199737736,0.855220696,0.965314124,1.380307877,1.957926509,0.666440579,-2.325031325,-0.005777152,0.278528225,-1.215346884,-0.196407997,-0.042031718,0.151622876,-0.172648337,1.979184196,1.342491764,-0.301352803,-1.138518017,-0.70567395,-0.680330638,0.296382143,-0.559842656,-1.091812903,-2.475008654,-0.123613171,0.33,..
Austria,Standardised Precipitation-Evapotranspiration Index,-0.1,-1.06,-0.83,-1.265813559,0.257938052,0.893950245,-0.67284255,-0.200618144,0.462830493,-0.168214104,-0.664674384,0.400960312,-2.423287864,-0.288717106,0.181189673,-0.943417674,-0.112371152,-0.417577126,0.454519657,0.509591936,-1.957242061,-0.66931705,0.113657074,0.907993427,-1.118175214,1.460001646,0.578133241,-1.070222745,-0.128417935,0.778434249,-0.64,..
