Country Name,Series Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,CO2 emissions (metric tons per capita),0.1,0.1,0.11,0.112540238,0.135027977,0.134750972,0.14914456,0.148504503,0.1521898,0.153753815,0.187378738,0.196382938,0.203090932,0.213624142,0.226034774,0.2452277,0.256723328,0.278180329,0.296605676,0.331714474,0.353600622,0.380377646,0.402254129,0.419796346,0.459000131,0.504495525,0.540477726,0.586734218,0.561780873,0.514095706,..,..
Barbados,CO2 emissions (metric tons per capita),3.86,3.56,3.36,3.553168718,3.61243937,3.738199814,4.072227812,4.332865918,4.604273247,4.533642674,4.636753358,4.56675803,4.70283246,4.789411069,4.935133566,4.99107414,5.038925422,5.936622249,5.835701492,5.38251654,5.490894079,5.299453307,5.184196784,4.60599681,4.550593211,4.616520862,4.211606483,4.524831588,4.150927964,3.890939943,..,..
Belarus,CO2 emissions (metric tons per capita),9.44,8.59,7.44,6.321099487,5.641431568,5.75355116,5.833544932,5.67931991,5.481134542,5.30757214,5.209240545,5.245821114,5.361564331,5.729965409,5.842828709,6.121245728,5.995939944,6.321556971,6.015761028,6.478781371,6.164447338,6.323630473,6.342249474,6.290067804,5.799689169,5.829463579,5.946407169,6.279579416,6.12342695,5.842407296,..,..
Belgium,CO2 emissions (metric tons per capita),11.39,11.18,10.92,11.35882853,11.30224288,11.7606251,11.45583865,11.70368582,11.29569403,11.44002926,11.50430124,10.72800799,11.13151691,10.87700891,10.58920275,10.24667523,9.778725166,9.964114755,9.253412196,9.808816157,8.741247718,8.578030369,8.651947187,8.061552368,8.434836506,8.310660392,8.139438591,8.184366679,8.093790746,7.398130658,..,..
Belize,CO2 emissions (metric tons per capita),2.36,2,2.08,2.022632184,1.984853977,1.571965194,1.926915188,1.774635502,1.606460167,1.765788064,1.938167075,1.75657887,1.706725301,1.507611672,1.556137861,1.602067543,1.660249916,1.481464445,1.701779191,1.658730035,1.751920268,1.391389116,1.338887149,1.386265738,1.894576141,1.785826901,1.723195481,1.656909312,1.908099184,1.759413733,..,..
Benin,CO2 emissions (metric tons per capita),0.05,0.05,0.05,0.045983716,0.048511484,0.152301569,0.187827957,0.178908899,0.191422939,0.197254937,0.233037087,0.283671551,0.308755009,0.324349738,0.344119445,0.39932168,0.446528238,0.435348627,0.464507678,0.49248358,0.460944499,0.427471304,0.436686198,0.470181153,0.484618836,0.576089162,0.571123393,0.614050466,0.587384608,0.61058124,..,..
Bhutan,CO2 emissions (metric tons per capita),0.3,0.36,0.32,0.371327527,0.448968866,0.540394764,0.68224816,0.662797334,0.649748789,0.651472784,0.621011339,0.659055203,0.592366187,0.481919747,0.597433011,0.592576912,0.587512396,0.615749085,0.57181104,0.702904086,1.049089553,1.162588058,1.251942372,1.380911396,1.407068151,1.642540241,1.735966116,1.914159622,1.873633673,1.344405109,..,..
Bolivia,CO2 emissions (metric tons per capita),1.49,1.5,1.35,1.237815637,1.096489557,1.038578183,1.124683211,1.049944223,0.97936052,0.942109327,0.892623746,0.936985098,0.980995945,1.019351092,1.055791019,1.125315057,1.229356718,1.29269958,1.354835006,1.443891363,1.545251687,1.61290522,1.696580086,1.795419033,1.816017769,1.907751507,1.906477512,1.901329537,1.870283444,1.555080825,..,..
Bosnia and Herzegovina,CO2 emissions (metric tons per capita),4.81,3.77,3.43,0.848945029,0.906852903,1.080713328,2.113618768,2.631392327,2.546083159,3.35477602,3.293193965,3.475643039,3.559008769,3.760383696,3.960802569,4.407826993,4.706330555,5.259270068,5.30690547,5.468359731,6.3440624,5.983521488,6.050582424,5.472015628,5.578732776,6.437253293,6.61849072,6.677236492,6.31418073,6.34876759,..,..
Botswana,CO2 emissions (metric tons per capita),2.04,2.39,2.29,2.1096243,2.128184805,1.898478691,1.950765131,2.291494363,2.349882491,2.404818938,2.257608976,2.307877918,2.20471962,2.197000132,2.32548154,2.180242793,2.260254154,2.252701324,2.103097797,1.658394451,1.87280996,1.619229571,2.532622314,3.21766594,3.15426731,2.96643243,3.237022923,3.506260599,3.086639712,2.436156058,..,..
Brazil,CO2 emissions (metric tons per capita),1.35,1.35,1.37,1.397026915,1.491845866,1.598112219,1.688060719,1.717828048,1.75341409,1.802516359,1.811534434,1.780113715,1.720758912,1.798368922,1.795941905,1.798119556,1.869803564,1.962695779,1.822162585,2.054347636,2.141976956,2.30720171,2.452886298,2.557001651,2.406559166,2.199987448,2.226072942,2.104917594,2.093548187,1.984746137,..,..
Brunei Darussalam,CO2 emissions (metric tons per capita),12.89,13.29,14.18,15.0131472,15.79937842,16.18366882,17.11267075,14.46260224,13.87867043,14.45328775,14.12590559,13.5845739,15.91145781,14.45973631,13.90659653,20.62397337,19.26050157,20.94400902,20.45527754,18.27737732,18.35979459,17.99870302,17.53104314,16.98932214,15.15281423,16.29814484,16.84535968,17.22208264,15.94334508,21.43029566,..,..
Bulgaria,CO2 emissions (metric tons per capita),6.81,6.48,6.6,6.362695682,6.528951054,6.612800505,6.375621566,6.113456253,5.398128084,5.314588236,5.766610206,5.563226275,6.164795384,6.124991253,6.265279466,6.440554967,6.971019721,6.678530879,5.763735447,6.049624919,6.754951603,6.162577362,5.539200042,5.945284787,6.37959115,6.032181829,6.450401472,6.094386986,5.918319725,5.211369906,..,..
Burkina Faso,CO2 emissions (metric tons per capita),0.06,0.06,0.06,0.061814746,0.061590173,0.068027773,0.075711827,0.078226696,0.080638947,0.08795656,0.083304589,0.081006099,0.084271149,0.083984832,0.082635647,0.09743346,0.11357891,0.125153255,0.122857536,0.129465599,0.132061706,0.156822443,0.166540372,0.164404203,0.202465857,0.206766474,0.232487452,0.251865518,0.269368998,0.254051807,..,..
Burundi,CO2 emissions (metric tons per capita),0.04,0.03,0.04,0.036857785,0.035754814,0.036784413,0.037264981,0.037578138,0.036893527,0.040586109,0.031683515,0.031960109,0.024307292,0.021831146,0.021219673,0.024359399,0.023536261,0.023360978,0.022139901,0.034480022,0.036972712,0.03616314,0.035098001,0.03377845,0.033201841,0.039325764,0.045981658,0.056065013,0.057721796,0.056547829,..,..
Cabo Verde,CO2 emissions (metric tons per capita),0.44,0.46,0.43,0.428785943,0.482415858,0.52257972,0.531656801,0.564140578,0.662009903,0.674583128,0.778851731,0.839317755,0.885329638,0.867805662,0.930707152,1.057001027,0.927064229,0.948828674,1.008809798,1.060645293,1.108228223,1.026652733,0.980038069,0.968914324,0.97561642,1.059205469,1.14000386,1.158322215,1.2005353,1.20580012,..,..
Cambodia,CO2 emissions (metric tons per capita),0.17,0.17,0.16,0.154266805,0.146808448,0.141631493,0.141785719,0.156093299,0.155481968,0.15751461,0.170051959,0.171984329,0.182224031,0.179527995,0.197742396,0.21724422,0.26446979,0.288576231,0.332357158,0.354520181,0.36431784,0.379649898,0.378214986,0.451211462,0.539746817,0.698072133,0.787669196,0.832939978,1.097801485,1.115232967,..,..
Cameroon,CO2 emissions (metric tons per capita),0.6,0.57,0.47,0.363584043,0.358348529,0.354490208,0.352981812,0.356348525,0.329662915,0.349307912,0.336836825,0.326431011,0.322146688,0.308395533,0.293787366,0.290118628,0.339697248,0.344216686,0.367919303,0.356639031,0.336170315,0.329978636,0.35168058,0.372748861,0.37341499,0.38264852,0.376151108,0.393031906,0.374706516,0.37879392,..,..
Canada,CO2 emissions (metric tons per capita),14.74,15.03,14.71,15.06050396,15.29046634,15.59261401,15.94384836,16.07657167,16.25847341,16.75746674,16.33146153,16.72087989,17.20921138,16.79515769,17.0281073,16.59520423,17.38070423,16.55933664,15.50396462,15.79406716,15.99832157,15.73719885,15.8416957,15.85368442,15.64921036,15.4212605,15.54726321,15.63347559,15.04583849,13.59169634,..,..
Central African Republic,CO2 emissions (metric tons per capita),0.05,0.05,0.05,0.049325436,0.048923971,0.048603522,0.04728601,0.062664878,0.063494617,0.06344211,0.064549264,0.062355267,0.056299088,0.053949293,0.052252256,0.053522735,0.053285291,0.037596096,0.037138056,0.038905007,0.042540878,0.042768705,0.025977836,0.028205682,0.039833064,0.043787602,0.046396055,0.046959645,0.047606499,0.047069328,..,..
Chad,CO2 emissions (metric tons per capita),0.06,0.06,0.06,0.062652485,0.06158782,0.060606404,0.06058381,0.059756841,0.059615419,0.059609311,0.059256321,0.058401578,0.080619041,0.077933185,0.077129445,0.076141203,0.079094648,0.089549799,0.093679422,0.096649157,0.078687976,0.093386586,0.10862986,0.104527004,0.100941306,0.097248002,0.095258462,0.096394455,0.094910329,0.091055398,..,..
Chile,CO2 emissions (metric tons per capita),2.14,2.19,2.3,2.5025258,2.682658354,3.047112789,3.434483621,3.438286032,3.553050976,3.252430801,3.087577546,3.097593159,3.132691227,3.395997188,3.423430179,3.461592161,3.873297919,4.037748587,3.847832749,4.059555111,4.407060333,4.475830092,4.692625762,4.285684298,4.557962613,4.735515052,4.695162442,4.582672138,4.787822986,4.379198109,..,..
China,CO2 emissions (metric tons per capita),2,2.08,2.24,2.322189229,2.563478759,2.521871874,2.547903664,2.605835732,2.517420763,2.650409102,2.774762197,2.964821228,3.434036479,3.945154871,4.467696361,4.910276197,5.306368006,5.435079096,5.798319938,6.335419767,6.901347326,7.04520023,7.320154925,7.304712872,7.145131535,7.105479936,7.226160154,7.533193134,7.645435786,7.756137907,..,..
Colombia,CO2 emissions (metric tons per capita),1.54,1.58,1.65,1.637311148,1.67696877,1.625036733,1.746632358,1.721822499,1.454226999,1.509224856,1.500614642,1.422776325,1.38543141,1.36265236,1.381163374,1.36311835,1.381042754,1.377964866,1.415595631,1.432557854,1.541575233,1.536081281,1.684132878,1.719966974,1.724873398,1.760762664,1.572248184,1.618685691,1.586653919,1.561477477,..,..
Comoros,CO2 emissions (metric tons per capita),0.15,0.15,0.15,0.155348424,0.15899353,0.15948484,0.16601776,0.178475678,0.184260467,0.195679749,0.200650561,0.196270327,0.245174606,0.263817711,0.248027172,0.284578993,0.181220793,0.181310553,0.218709644,0.256247366,0.224532075,0.23487816,0.276073267,0.24160123,0.25582029,0.29376831,0.36872133,0.392306795,0.414707759,0.409143778,..,..
"Congo, Dem. Rep.",CO2 emissions (metric tons per capita),0.05,0.04,0.05,0.051803702,0.047507631,0.050144246,0.049315117,0.048115338,0.042894144,0.032370081,0.030028017,0.030701096,0.036112402,0.034031173,0.03757844,0.037660081,0.039578889,0.039653264,0.037685935,0.038707445,0.042581924,0.038595519,0.052243457,0.065508771,0.039876335,0.028838058,0.032669832,0.031249013,0.032611979,0.031519951,..,..
"Congo, Rep.",CO2 emissions (metric tons per capita),1.3,1.24,1.04,0.76864546,0.958300554,1.120721951,1.131017687,1.312879375,1.306285721,1.379406571,1.296700389,0.822258519,0.935905737,0.985681328,1.166875384,1.245100535,1.04278181,1.060063688,1.130182782,1.215373721,1.167959296,1.109757512,1.093576639,1.040037139,1.109349709,1.052668665,1.010407192,1.133825681,1.247378113,1.243552912,..,..
Costa Rica,CO2 emissions (metric tons per capita),0.96,1.26,1.24,1.405484941,1.360554609,1.250865913,1.214006172,1.325803537,1.303435617,1.256253906,1.352649461,1.355152053,1.401112017,1.415116576,1.472317917,1.517353414,1.73563232,1.692613787,1.599740966,1.559604755,1.611945595,1.596656385,1.649376069,1.642983949,1.564516511,1.645552351,1.663587532,1.647216578,1.591422273,1.383980359,..,..
Cote d'Ivoire,CO2 emissions (metric tons per capita),0.22,0.21,0.22,0.216529466,0.226521172,0.262499553,0.309873953,0.299430843,0.396806796,0.3666534,0.357243582,0.366603267,0.277513704,0.278953815,0.292822697,0.277352164,0.269027574,0.300946727,0.274171127,0.282398686,0.266221391,0.342509621,0.363094474,0.374964402,0.388400823,0.36913119,0.395154042,0.371203604,0.384453465,0.376784742,..,..
Croatia,CO2 emissions (metric tons per capita),3.14,3.28,3.38,3.195383343,3.344761831,3.347394185,3.764035529,4.088029152,4.102648652,4.036074554,4.464557747,4.713128758,5.021124,4.90003717,4.975470663,5.009859298,5.306461368,5.041249923,4.716619348,4.529770847,4.445054948,4.084858397,4.017693288,3.864339235,3.998892027,4.109409922,4.307386017,4.119911502,4.183760024,3.992355027,..,..
Cuba,CO2 emissions (metric tons per capita),2.56,2.02,1.86,1.995164257,2.121256943,2.29915864,2.495759658,2.457019268,2.528713728,2.552238888,2.464534699,2.364007502,2.286352425,2.25690459,2.336761271,2.37443643,2.452098257,2.368726865,2.388691565,2.48818114,2.440926133,2.538304503,2.555255202,2.363780954,2.590654688,2.412332326,2.333010219,2.375908047,2.179669345,2.176720601,..,..
Cyprus,CO2 emissions (metric tons per capita),6.39,6.76,6.94,7.077226883,6.778757266,7.055970192,7.024426004,7.227614078,7.378489187,7.521312866,7.252260335,7.304063417,7.837313298,7.642195751,7.62514344,7.586554858,7.744002595,7.782307663,7.460173378,7.003270037,6.659089938,6.091314805,5.429282158,5.667993287,5.618604972,5.835526614,5.868888402,5.664901549,5.588841281,5.20008877,..,..
Czechia,CO2 emissions (metric tons per capita),13.56,13.26,12.68,12.11580258,12.05732057,12.4557148,12.22866829,11.63424912,10.92584885,12.16147575,12.17051065,11.78884871,12.10250385,12.13933254,11.93722667,11.96940493,12.08222916,11.43214623,10.84323956,10.89966881,10.59633837,10.2104838,9.787677169,9.497131068,9.592919971,9.747753525,9.773987068,9.66462802,9.156117906,8.304017496,..,..
Denmark,CO2 emissions (metric tons per capita),12.16,11.02,11.43,12.13394466,11.47221878,13.94149123,12.03735257,11.25713324,10.65964724,9.851270204,10.12270883,10.01495369,10.98844019,9.941228856,9.263313941,10.69175866,9.779732005,9.124710278,8.67875711,8.674756651,7.736727934,6.834607513,7.11686268,6.347153128,5.930324767,6.169734341,5.756134453,5.718912959,5.107386426,4.691237308,..,..
Djibouti,CO2 emissions (metric tons per capita),0.46,0.49,0.5,0.471509949,0.498835839,0.456544942,0.493884495,0.563092692,0.543068524,0.499653427,0.488128684,0.502278858,0.509391913,0.479104832,0.511578744,0.505513202,0.537661459,0.531289275,0.510681527,0.558021437,0.500654678,0.509543862,0.567400876,0.401080265,0.437659816,0.3811197,0.382427304,0.387076189,0.393374171,0.386992982,..,..
Dominica,CO2 emissions (metric tons per capita),0.9,0.91,0.95,0.99889172,1.196217018,1.004178072,1.314593284,1.343961576,1.485407289,1.828903388,2.036961106,1.544604853,1.772920284,2.101997116,2.159047924,2.257070604,2.382093628,2.406541377,2.378601301,2.505119157,2.202655931,2.416157875,2.458581367,2.557799156,2.569237324,2.621900411,2.417659425,2.42467803,2.564820271,2.409246297,..,..
Dominican Republic,CO2 emissions (metric tons per capita),1.13,1.29,1.25,1.43874196,1.501588149,1.584547238,1.774242918,1.999443586,2.106744234,2.174998456,2.176959165,2.359189515,2.085067623,1.89812246,2.026095514,2.180505403,2.181424074,2.149902905,2.027505179,2.10595025,2.102824952,2.152990578,2.08824296,2.0794573,2.260746199,2.33082151,2.207897876,2.35261318,2.365990294,2.078549821,..,..
East Asia & Pacific (IDA & IBRD),CO2 emissions (metric tons per capita),1.69,1.75,1.89,1.964340036,2.167147144,2.159898726,2.199032685,2.222781869,2.171323193,2.266815372,2.36829035,2.511911188,2.858403993,3.235523382,3.604751466,3.915585888,4.205259121,4.292041274,4.529499424,4.927862256,5.33540359,5.436283364,5.616606222,5.628514741,5.530168277,5.505830832,5.604743596,5.862998744,5.982174907,6.01610199,..,..
Ecuador,CO2 emissions (metric tons per capita),1.47,1.54,1.52,1.653515148,1.804743086,2.031817932,2.074086659,1.997349807,1.733201452,1.737815589,1.878397365,1.839810596,1.843795677,1.923600203,2.03813143,2.138720703,2.138068626,2.174103659,2.326899166,2.470965951,2.420465259,2.381494862,2.511594769,2.606852307,2.544554745,2.410867306,2.300143578,2.362127275,2.285545098,1.962320327,..,..
"Egypt, Arab Rep.",CO2 emissions (metric tons per capita),1.49,1.48,1.47,1.367348443,1.427548469,1.476099975,1.549830532,1.586748259,1.629386823,1.56827107,1.697266661,1.697831391,1.708597789,1.818175001,2.000186089,2.064621136,2.176126185,2.212026632,2.258934907,2.245763692,2.258869142,2.307842313,2.243243782,2.246735611,2.271984327,2.316166579,2.358242995,2.251876273,2.026052085,1.927933595,..,..
El Salvador,CO2 emissions (metric tons per capita),0.56,0.6,0.69,0.780398902,0.861035613,0.756190134,0.91010848,0.963511479,0.947936218,0.947543867,0.983334618,0.991425728,1.085286748,1.111934359,1.13832507,1.205367459,1.269421534,1.146037424,1.103917329,1.077609043,1.113063816,1.107560957,1.051632076,1.069649219,1.131624619,1.149061411,1.021142078,1.100500385,1.271664354,1.022716027,..,..
Equatorial Guinea,CO2 emissions (metric tons per capita),0.15,1.77,1.84,1.909520884,1.95531313,2.063886287,2.736130901,3.198726683,4.95643077,2.818653763,3.857643538,3.187515117,3.29688086,6.131232103,5.921569993,5.638854417,6.106111323,5.362783879,5.341414298,5.086095611,4.903308411,4.537284216,4.449502235,4.248093337,3.778879624,3.865637262,3.436580739,3.135629186,2.919750422,2.534506906,..,..
Eritrea,CO2 emissions (metric tons per capita),0,0.24,0.34,0.38176199,0.393365418,0.408942787,0.382908135,0.280244302,0.292085069,0.281789615,0.299695642,0.283809546,0.274661845,0.270755622,0.221639364,0.19588297,0.188289537,0.159537582,0.161997448,0.170770199,0.198730359,0.205907959,0.191724456,0.191336639,0.183832408,0.185777954,0.184573318,0.212261492,0.215172301,0.214628331,..,..
Estonia,CO2 emissions (metric tons per capita),20.41,15.01,12.27,12.7764247,11.48385741,12.34817328,12.76030967,11.85133564,11.13998694,10.68909115,10.97293812,10.72613912,12.17024629,12.29679645,12.40626672,11.94674824,14.74311543,13.07428819,10.5265958,13.89466569,13.93856893,12.8442212,14.2993497,13.38478333,10.92977307,12.08946716,12.73243033,11.88893604,7.582120103,5.338399816,..,..
Eswatini,CO2 emissions (metric tons per capita),1.2,0.96,0.84,1.498025148,1.456051062,1.142607752,1.142320702,1.149410633,1.220141601,1.047230016,1.052076753,1.014497268,0.934189557,0.91841004,0.910546773,0.913746869,0.939392411,0.915771097,0.943127332,0.763909504,0.72899977,0.7174362,0.84691015,0.860160926,0.888946836,0.970850982,0.954761504,0.945994154,0.991207536,0.962247082,..,..
Ethiopia,CO2 emissions (metric tons per capita),0.05,0.03,0.04,0.040664245,0.044748336,0.048269954,0.049807393,0.050937823,0.048590766,0.052765482,0.063339211,0.06381611,0.068024094,0.070115614,0.064433623,0.066971081,0.071760158,0.075840797,0.074249239,0.071496645,0.081068196,0.08934353,0.103524272,0.123524943,0.12560566,0.142873525,0.144824561,0.151143018,0.153001559,0.152189324,..,..
Europe & Central Asia (IDA & IBRD),CO2 emissions (metric tons per capita),9.79,9.18,8.43,7.570525272,7.360931992,7.18516214,6.822838908,6.729990218,6.664671235,6.79714471,6.788172153,6.854556769,7.137129427,7.133885006,7.163308252,7.451151622,7.57725097,7.631315363,7.029103545,7.340597068,7.667826604,7.522163245,7.328918093,7.052482698,6.872245011,6.927491856,7.064535422,7.207474297,7.155915995,6.896724759,..,..
Fiji,CO2 emissions (metric tons per capita),0.92,0.97,0.94,0.935275696,0.941062616,1.005985402,0.967703804,0.931885126,0.945291575,0.994851999,1.224582037,1.022086151,1.196487072,1.509207815,1.213877483,1.347761873,1.2572508,0.955723883,0.845091536,1.237122687,1.156421381,1.085889664,1.164290578,1.322602266,1.375822195,1.304008199,1.448802134,1.512462112,1.523118945,1.123761289,..,..
Finland,CO2 emissions (metric tons per capita),11,10.37,10.55,11.77745246,10.98175532,12.21065638,11.79493116,11.11198646,10.93992536,10.64437313,11.77486619,12.19853948,13.75559321,12.94580591,10.57170894,12.72721024,12.30972712,10.66362605,10.14838156,11.65808248,10.23025564,9.126037062,9.228085749,8.452183205,7.813697924,8.31624753,7.809318955,8.049188427,7.423039601,6.570145128,..,..
France,CO2 emissions (metric tons per capita),6.5,6.26,5.91,5.806594109,5.916618137,6.157855481,5.988862472,6.332911917,6.198203147,6.126789294,6.141352987,6.004761977,6.053647836,6.027157351,6.027397161,5.842931717,5.671193961,5.564435798,5.314502254,5.350766939,5.127450937,5.152717979,5.128237958,4.614807136,4.675935087,4.703475673,4.747916929,4.570517428,4.46055813,3.951927712,..,..
Gabon,CO2 emissions (metric tons per capita),4.51,4.36,4.37,4.216155729,4.639404993,5.039917015,4.710298204,5.272839959,4.849406605,4.766489073,4.75397243,4.427362309,4.656129056,4.284652109,4.139611,3.60469842,3.175036964,3.280644609,3.134158584,3.350288014,3.241968928,3.033192574,3.026707488,3.013573096,2.996488467,3.039414257,2.477954472,2.314495475,2.325918792,2.303169075,..,..
"Gambia, The",CO2 emissions (metric tons per capita),0.18,0.17,0.17,0.168836058,0.17155562,0.168970578,0.171261397,0.177852078,0.183573849,0.16823771,0.206419886,0.192877343,0.187752241,0.194040382,0.197656081,0.208246491,0.231626471,0.235277679,0.25910778,0.225367611,0.225276542,0.221673599,0.204675305,0.234138805,0.263381597,0.25974606,0.257152604,0.249121532,0.247024231,0.24303056,..,..
